省份,年份,新质生产力_组合得分,高质量发展_组合得分,产业高级化率（%）,城镇化率（%）,政府干预度（一般公共预算支出/GDP）,基础设施_公路里程（公里）,基础设施_铁路里程（公里）,每万人R&D人员（人年/万人）,人均R&D经费（万元/万人）,每万人专利授权数（件/万人）,人均电商销售额（亿元/万人）,人均软件产品收入（亿元/万人）,人均技术市场成交额（万元/万人）,人均电信业务总量（亿元/万人）,数字普惠金融总指数,人均地区生产总值（元）,居民人均可支配收入（元）,对外开放度（进出口/GDP）,环保重视度（污染治理投资/GDP）,单位GDP能耗（万吨标煤/亿元）
甘肃,2023,0.12735136051907353,0.18836363650054536,51.76924762723579,55.49,0.3811443213810078,158219.0,5591.2,6.9894523326572005,317.3590263691684,8.479918864097364,0.5693512292089249,0.0047302231237322,1885.6401622718054,0.12187423935091278,362.621006008951,47867.0,25011.0,0.0476322931944233,0.0005434978674623,0.8967344551116617
福建,2011,0.07152639298093198,0.2837118272375965,39.17237750410303,58.11,0.1251798102297357,92322.0,2100.0,23.50419161676647,620.0614944024994,5.776162790697675,0.4402772483912484,0.0867234990887789,91.36158313953489,0.11932346723044397,61.76,47377.0,21217.9474,0.3133993762013816,0.0008120600130522,0.6066336529579993
福建,2012,0.0907513354675609,0.30172752291697924,39.27122320927348,59.32,0.1323485492173804,94661.0,2300.0,23.50419161676647,620.0614944024994,7.939859411611559,0.4402772483912484,0.0867234990887789,130.41391757354856,0.1338756782087998,123.21,52763.0,21217.9474,0.3133993762013816,0.00120615802227,0.5677375881773119
福建,2013,0.11524516956606085,0.32525740447550044,38.90542968444552,60.8,0.1403297895739486,99535.0,2700.0,25.791402831402834,718.6527155727156,9.655341055341056,0.4402772483912484,0.0850296216216216,115.02838723294724,0.16070589446589448,183.1,58145.0,21217.9474,0.3133993762013816,0.0017557842356742,0.5116951376158115
福建,2014,0.12938469704528538,0.3352390867641247,39.59800064516773,61.99,0.1374598017273202,101190.0,2759.13,28.109607097591887,799.4502408111534,9.59619771863118,0.5320502179974652,0.1398176223067173,99.34431515842839,0.1759847908745247,202.59,63472.0,23330.9,0.3133993762013816,0.0017625716252573,0.503413735421371
福建,2015,0.15049139124815347,0.34665952549642726,41.55879447971541,63.22,0.1540264713150437,104585.0,3200.811,24.89457831325301,870.9362700803213,15.467118473895582,0.5836422188755019,0.1576757705823293,130.88565843373493,0.21601656626506024,245.21,67965.51995,25404.4,0.3133993762013816,0.0017205661932992,0.45662364096441005
福建,2016,0.14932296639250167,0.3366491404717253,42.87969905499993,64.39,0.1483968736484999,106757.0,3201.0,25.46065737051793,966.7908615537848,16.718625498007967,0.597438421314741,0.1936297285856573,107.62046155378486,0.1465438247011952,252.670866105184,74707.0,27607.93495,0.3133993762013816,0.0007844340516574,0.41776319671454026
福建,2017,0.17659635667870854,0.3451444826130191,45.40621817911764,65.78,0.1455515070649545,108011.607,3191.413,25.961377613776136,1104.0427552275523,16.802952029520295,0.7067141943419435,0.2171731562115621,185.64174349323494,0.22360328413284133,299.282344890188,82677.0,30047.74704,0.3223227267091727,0.0004580010185789,0.3901238235304171
福建,2018,0.23789236648250947,0.35690171268031134,45.22355577750444,66.98,0.1349761926307758,108901.276,3513.744,29.41593567251462,1279.0976851851854,25.00536062378168,0.8481868421052632,0.2376285769980506,205.95395813840156,0.49372076023391814,334.435835390687,91197.24911,32643.93068,0.3182007309789621,0.00037954337991095,0.3667463224820439
福建,2019,0.28580392954800315,0.36937844672654796,45.32852930770137,67.87,0.1197766930062507,109785.157,3513.764,30.47836596567561,1446.7341551849167,23.91950688905004,1.0824104641044237,0.2082721464829586,337.4141955523326,0.7820765675610346,360.5089661342004,107139.25,35616.09102,0.2841632959075362,0.000301085741243,0.3235758933836537
福建,2020,0.32801637988845256,0.37090527622399094,47.47365210690898,68.75,0.1188072400873818,110118.0,3779.0,33.85003604902668,1602.7712088440278,35.070415765441,1.221389089161259,0.1545181446767604,393.02267147320356,0.9393078586878154,380.1262309929718,105818.0,37202.42802,0.2713745866254676,0.000400342657564,0.3235758933836537
福建,2021,0.2518881702873804,0.39885284319058767,47.21596217199613,69.7,0.1066313080818842,111030.658,3987.585,44.50155242417005,1842.9745402436115,36.73608789109147,1.5278699474564126,0.1371823453546692,470.0204812514927,0.12670886075949367,410.312544044324,116939.0,40659.3,0.3276043630046055,0.000246670996345,0.3235758933836537
